date,time,CD,CM,CU,PREC,RH2m,SNOW,ST,SWD,SWDtop,TT2M,WS100m,WS10m,consumption,generation
5/13/19,22:00,0,0,0,0,64.23,0,7.58,0,0,9.01,8.18,2.63,0.061279867,0
5/13/19,22:15,0,0,0,0,66.35,0,7.07,0,0,8.52,8.01,2.49,0.065998533,0
5/13/19,22:30,0,0,0,0,68.59,0,6.61,0,0,8.05,7.97,2.39,0.074645999,0
5/13/19,22:45,0,0,0,0,70.89,0,6.18,0,0,7.62,7.95,2.3,0.067789998,0
5/13/19,23:00,0,0,0,0,73.26,0,5.79,0,0,7.21,7.98,2.22,0.0842604,0
5/13/19,23:15,0,0,0,0,75.76,0,5.35,0,0,6.81,7.94,2.18,0.061325865,0
5/13/19,23:30,0,0,0,0,78.28,0,4.96,0,0,6.42,7.94,2.13,0.064444,0
5/13/19,23:45,0,0,0,0,80.66,0,4.62,0,0,6.07,8.05,2.11,0.069842399,0
5/14/19,0:00,0,0,0,0,82.87,0,4.33,0,0,5.77,8.16,2.13,0.065847334,0
5/14/19,0:15,0,0,0,0,84.93,0,4.06,0,0,5.52,8.19,2.14,0.090489867,0
5/14/19,0:30,0,0,0,0,86.86,0,3.82,0,0,5.29,8.14,2.12,0.066241335,0
5/14/19,0:45,0,0,0,0,88.91,0,3.57,0,0,5.02,8.23,2.14,0.060765335,0
5/14/19,1:00,0,0,0,0,90.69,0,3.39,0,0,4.82,8.32,2.18,0.062747199,0
5/14/19,1:15,0,0,0,0,92.18,0,3.23,0,0,4.66,8.3,2.2,0.086337999,0
5/14/19,1:30,0,0,0,0,93.39,0,3.07,0,0,4.52,8.08,2.15,0.060237334,0
5/14/19,1:45,0,0,0,0,94.37,0,2.88,0,0,4.35,7.65,2.04,0.063922666,0
5/14/19,2:00,0,0,0,0,95.27,0,2.65,0,0,4.11,7.3,1.96,0.057569333,0
5/14/19,2:15,0,0,0,0,96.11,0,2.39,0,0,3.85,7.23,1.97,0.062170665,0
5/14/19,2:30,0,0,0,0,96.75,0,2.22,0,0,3.64,7.34,2.02,0.059915201,0
5/14/19,2:45,0,0,0,0,97.19,0,2.12,0,0,3.51,7.44,2.07,0.069171067,0
5/14/19,3:00,0,0,0,0,97.61,0,2.02,0,0,3.4,7.45,2.1,0.063732399,0
5/14/19,3:15,0,0,0.01,0,98.03,0,1.9,0,0,3.3,7.39,2.09,0.066574667,0
5/14/19,3:30,0,0,0.01,0,98.5,0,1.78,0,0,3.17,7.35,2.1,0.063464133,0
5/14/19,3:45,0,0,0.01,0,98.94,0,1.68,0,0,3.04,7.4,2.12,0.071007065,0.000355204
5/14/19,4:00,0,0,0.01,0,99.45,0,1.58,0,0,2.93,7.47,2.12,0.076960533,0.004863993
5/14/19,4:15,0.29,0,0,0,99.64,0,1.74,0,0,2.92,7.41,2.1,0.084061601,0.01022105
5/14/19,4:30,0.29,0,0,0,99.86,0,1.8,0,0,2.93,7.2,2.11,0.083205465,0.016505265
5/14/19,4:45,0.29,0,0,0.01,99.91,0,1.91,0,0,3.02,6.38,2.38,0.092944,0.022349421
5/14/19,5:00,0.29,0,0,0.01,99.96,0,1.91,0,0,2.99,5.78,2.4,0.090716799,0.037379303
5/14/19,5:15,1,0,0,0.01,99.84,0,2.85,25.66,182.47,3.23,5.26,2.37,0.117049998,0.065915478
5/14/19,5:30,1,0,0,0.01,99.59,0,3.35,34.67,229.67,3.38,4.68,2.26,0.114586665,0.096469275
5/14/19,5:45,1,0,0,0.01,99.31,0,3.74,44.64,275.96,3.56,4.65,2.1,0.126183335,0.140816518
5/14/19,6:00,1,0,0,0.01,99.37,0,4.12,55.46,321.48,3.79,4.65,2.13,0.153742667,0.185857174
5/14/19,6:15,1,0,0,0.01,99.22,0,4.5,77.95,391.3,3.98,4.49,2.2,0.136388664,0.239025272
5/14/19,6:30,1,0,0,0.01,98.8,0,4.79,98.89,438.57,4.09,4.33,2.15,0.147005335,0.28110158
5/14/19,6:45,1,0,0,0.01,98.03,0,5.12,123.91,484.4,4.21,4.25,2.12,0.145814664,0.333459654
5/14/19,7:00,1,0,0,0,96.63,0,5.59,152.49,528.95,4.42,4.23,2.12,0.151140002,0.386745034
5/14/19,7:15,1,0,0,0,94.06,0,6.41,214.94,595.72,4.8,4.22,2.13,0.148831332,0.46218607
5/14/19,7:30,0.86,0,0,0,90.35,0,7.42,288.27,639.85,5.32,4.24,2.15,0.159959337,0.476702316
5/14/19,7:45,0.62,0,0,0,85.65,0,8.64,374.2,682.08,6.02,4.38,2.24,0.177486532,0.387781641
5/14/19,8:00,0.27,0,0,0,80.44,0,9.88,471.17,722.63,6.87,4.58,2.37,0.209638003,0.406859194
5/14/19,8:15,0,0,0,0,75.89,0,10.91,571.67,781.81,7.71,4.81,2.5,0.181244665,0.413361342
5/14/19,8:30,0,0,0,0,71.58,0,11.82,604.98,819.79,8.56,5.08,2.64,0.180487995,0.428747907
5/14/19,8:45,0,0,0,0,67.46,0,12.71,636.3,855.54,9.4,5.34,2.76,0.171744934,0.562813553
5/14/19,9:00,0,0,0,0,63.59,0,13.52,665.88,889.33,10.17,5.59,2.9,0.167262665,0.364818436
5/14/19,9:15,0,0,0,0,60.43,0,14.14,707.75,936.87,10.74,5.9,3.1,0.174914267,0.562142801
5/14/19,9:30,0,0,0,0,58.05,0,14.68,733.54,966.12,11.24,6.13,3.21,0.165063199,0.608073201
5/14/19,9:45,0,0,0,0,56.21,0,15.22,757.14,992.95,11.74,6.31,3.29,0.185945863,0.593824693
5/14/19,10:00,0,0,0,0,54.52,0,15.72,778.83,1017.69,12.21,6.49,3.38,0.165058006,0.603056125
5/14/19,10:15,0,0,0,0,52.89,0,16.19,807.38,1050.35,12.63,6.65,3.46,0.170688932,0.615814704
5/14/19,10:30,0,0,0,0,51.29,0,16.54,823.54,1068.86,12.97,6.79,3.55,0.173270136,0.623902162
5/14/19,10:45,0,0,0,0,49.43,0,16.81,837.57,1084.96,13.24,6.96,3.66,0.160210268,0.62551755
5/14/19,11:00,0,0,0,0,47.57,0,17.12,849.73,1098.94,13.53,7.12,3.74,0.173179739,0.633957645
5/14/19,11:15,0,0,0,0,46.25,0,17.47,863.21,1114.51,13.85,7.16,3.74,0.184543601,0.63874873
5/14/19,11:30,0,0,0,0,45.62,0,17.8,868.8,1121.03,14.15,7.1,3.71,0.157475201,0.641368931
5/14/19,11:45,0,0,0,0,45.6,0,18.09,872.32,1125.29,14.43,7.05,3.69,0.157012532,0.63657401
5/14/19,12:00,0,0,0,0,45.53,0,18.39,874.04,1127.57,14.71,7,3.68,0.220704669,0.156680859
5/14/19,12:15,0,0,0,0,44.96,0,18.68,871.3,1124.97,15.01,7.03,3.7,0.191157199,0.636617843
5/14/19,12:30,0,0,0,0,43.04,0,18.9,865.4,1119.06,15.29,7.26,3.83,0.180066666,0.621766965
5/14/19,12:45,0,0,0,0,39.11,0,18.99,857.21,1111.19,15.45,7.53,3.98,0.178605995,0.604168513
5/14/19,13:00,0.01,0,0,0,36.7,0,19.06,847.04,1101.61,15.54,7.58,3.99,0.190060804,0.621977414
5/14/19,13:15,0,0,0,0,36.73,0,19.17,831.5,1081.03,15.64,7.3,3.84,0.180118671,0.606432241
5/14/19,13:30,0,0,0,0,38.04,0,19.31,812.62,1063.08,15.77,6.91,3.66,0.17251653,0.625864997
5/14/19,13:45,0,0,0,0,39.68,0,19.47,794.92,1043.62,15.94,6.67,3.55,0.165539733,0.613260826
5/14/19,14:00,0,0,0,0,40.66,0,19.65,778.26,1022.84,16.16,6.74,3.6,0.173282663,0.298686879
5/14/19,14:15,0.02,0,0,0,40.79,0,19.68,735.67,985.68,16.33,7.04,3.73,0.152976398,0.560119301
5/14/19,14:30,0.01,0,0,0,40.4,0,19.72,715.9,956.92,16.44,7.23,3.79,0.163009333,0.545114753
5/14/19,14:45,0,0,0,0,39.87,0,19.79,691.84,927.2,16.58,7.32,3.8,0.183865063,0.334863888
5/14/19,15:00,0,0,0,0,39.18,0,19.88,664.03,896.63,16.75,7.4,3.82,0.168941597,0.513216295
5/14/19,15:15,0,0,0,0,38.81,0,19.82,619.1,845.41,16.69,6.5,3.42,0.143300001,0.484055943
5/14/19,15:30,0.06,0,0,0,38.43,0,20,562.22,807.81,16.82,5.14,2.75,0.153758001,0.423428537
5/14/19,15:45,0.4,0,0,0,37.94,0,19.45,392.4,769.84,17,7.45,3.69,0.174976667,0.373342787
5/14/19,16:00,1,0,0,0,42.24,0,17.02,123.76,731.57,15.67,9.12,4.38,0.139341866,0.377690214
5/14/19,16:15,0,0,0,0,41.04,0,18.75,468.04,669.8,16.29,8.06,3.98,0.124482268,0.278336377
5/14/19,16:30,0,0,0,0,40.31,0,19,429.08,625.9,16.4,6.56,3.38,0.122732668,0.285794423
5/14/19,16:45,0.29,0,0,0,41.58,0,18.38,314.17,582.28,16.2,7.28,3.68,0.113521999,0.242723563
5/14/19,17:00,0.82,0,0,0,44.06,0,16.58,132.81,538.91,15.35,9.22,4.41,0.114863998,0.222482938
5/14/19,17:15,0.02,0,0,0,43.18,0,16.94,296.52,470.79,15.35,7.79,3.69,0.101782666,0.195974846
5/14/19,17:30,0.01,0,0,0,43.19,0,16.89,260.5,423.6,15.29,5.31,2.58,0.089151334,0.146546704
5/14/19,17:45,0,0,0,0,41.14,0,16.54,224.61,377.3,15.41,7.54,3.61,0.082811467,0.090541009
5/14/19,18:00,0,0,0,0,37.6,0,15.81,188.84,331.79,14.97,8.53,3.94,0.075419332,0.066314292
5/14/19,18:15,0.01,0,0,0,37.93,0,15.15,134.74,261.96,14.62,6.04,2.8,0.103882133,0.03562157
5/14/19,18:30,0,0,0,0,39.71,0,14.73,102.63,214.69,14.55,4.68,2.17,0.100063333,0.023920232
5/14/19,18:45,0.02,0,0,0,41.62,0,14.28,72.49,168.87,14.39,6.33,2.81,0.074099067,0.016393798
5/14/19,19:00,0.05,0,0,0,42.58,0,13.65,44.07,124.32,13.91,8.03,3.55,0.078128001,0.008725804
5/14/19,19:15,0.01,0,0,0,43.32,0,12.87,12.94,57.54,13.42,8.39,3.57,0.085365999,0.002934065
5/14/19,19:30,0.01,0,0,0,44.73,0,12.37,12.94,57.54,13.1,8.17,3.36,0.064688933,0
5/14/19,19:45,0,0,0,0,47.05,0,11.5,0,0,12.61,7.41,2.87,0.068068133,0
5/14/19,20:00,0,0,0,0,49.53,0,10.7,0,0,12.03,7.01,2.4,0.070253336,0
5/14/19,20:15,0,0,0,0,51.49,0,10.18,0,0,11.55,7.69,2.57,0.066675735,0
5/14/19,20:30,0,0,0,0,51.17,0,10.13,0,0,11.52,8.33,3.1,0.0776072,0
5/14/19,20:45,0,0,0,0,50.72,0,10.02,0,0,11.5,8.11,3.08,0.066921067,0
5/14/19,21:00,0,0,0,0,51.67,0,9.72,0,0,11.29,7.72,2.81,0.065641999,0
5/14/19,21:15,0.01,0,0,0,53.35,0,9.3,0,0,10.94,7.53,2.6,0.065781333,0
5/14/19,21:30,0.01,0,0,0,55.47,0,8.85,0,0,10.5,7.55,2.52,0.065792668,0
5/14/19,21:45,0.01,0,0,0,57.5,0,8.45,0,0,10.09,7.61,2.47,0.066447467,0
5/14/19,22:00,0.01,0,0,0,59.25,0,8.07,0,0,9.74,7.6,2.36,0.055890667,0
5/14/19,22:15,0,0,0,0,61.02,0,7.63,0,0,9.37,7.57,2.26,0.052014133,0
5/14/19,22:30,0,0,0,0,62.82,0,7.2,0,0,9,7.52,2.13,0.054154001,0
5/14/19,22:45,0,0,0,0,64.78,0,6.68,0,0,8.59,7.56,1.95,0.082245732,0
